ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Title-Clean,Detect Language,Average-Rating,Review-Count,Author-Count,Publisher-Count,Binned-Rating
0002005018,Clara Callan,richard bruce wright,2001.0,harperflamingo canada,clara callan,it,7.5,8,1,2,Low
0374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,gina bari kolata,1999.0,farrar straus giroux,flu great influenza pandemic 1918 search virus caused,en,7.833333333333333,6,1,45,High
0399135782,The Kitchen God's Wife,amy tan,1991.0,putnam,kitchen god wife,en,8.125,16,17,212,High
0440234743,The Testament,john grisham,1999.0,dell,testament,en,7.721212121212122,165,54,410,High
0452264464,Beloved (Plume Contemporary Fiction),toni morrison,1994.0,plume,beloved plume contemporary fiction,en,7.753246753246753,77,17,125,High
0609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,the onion,1999.0,three rivers press,dumb century onion present 100 year headline america finest news source,en,8.307692307692308,13,1,13,High
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,celia brooks brown,2001.0,ryl peters small,new vegetarian bold beautiful recipe every occasion,en,9.25,8,1,1,High
0971880107,Wild Animus,rich shapero,2004.0,too far,wild animus,en,4.4,575,1,1,Low
0345402871,Airframe,michael crichton,1997.0,ballantine,airframe,unknown,7.45945945945946,74,33,656,Low
0345417623,Timeline,michael crichton,2000.0,ballantine,timeline,fi,7.830687830687831,189,33,656,High
0375759778,Prague : A Novel,arthur phillips,2003.0,rom house paperbacks,prague,unknown,6.571428571428571,14,2,8,Low
0375406328,Lying Awake,mark salzman,2000.0,alfred a knopf,lying awake,unknown,7.0,8,6,84,Low
0446310786,To Kill a Mockingbird,harper lee,1988.0,little brown,kill mockingbird,unknown,8.946078431372548,204,5,95,High
0449005615,Seabiscuit: An American Legend,laura hillenbrand,2002.0,ballantine,seabiscuit american legend,unknown,8.517543859649123,114,3,656,High
0060168013,Pigs in Heaven,barbara kingsolver,1993.0,harpercollins,pig heaven,en,8.380952380952381,21,18,321,High
0061099686,Downtown,anne rivers siddons,1995.0,harpertorch,downtown,pl,6.875,8,18,258,Low
0553582909,Icebound,dean r koontz,2000.0,bantam,icebound,en,7.25,12,56,864,Low
0671888587,I'll Be Seeing You,mary higgins clark,1994.0,pocket,' seeing,unknown,7.555555555555555,36,65,652,Low
0553582747,From the Corner of His Eye,dean koontz,2001.0,bantam,corner eye,en,7.971830985915493,71,26,864,High
0425182908,Isle of Dogs,patricia cornwell,2002.0,berkley,isle dog,unknown,5.357142857142857,70,16,519,Low
042518630X,Purity in Death,jd robb,2002.0,berkley,purity death,en,7.4375,32,1,519,Low
0440223571,This Year It Will Be Different: And Other Stories,maeve binchy,1997.0,dell,year different,en,7.15,20,29,410,Low
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),tim lahaye,2000.0,tyndale house,left behind earth last day left behind # 1,en,7.673913043478261,46,19,41,Low
0440225701,The Street Lawyer,john grisham,1999.0,dell,street lawyer,en,7.6141732283464565,127,54,410,Low
0060914068,"Love, Medicine and Miracles",md bernie s siegel,1988.0,harpercollins,love medicine miracle,en,8.25,4,1,321,High
0380715899,A Soldier of the Great War,mark helprin,1992.0,avon,soldier great war,en,8.285714285714286,7,5,540,High
0671623249,LONESOME DOVE,larry mcmurtry,1986.0,pocket,lonesome dove,unknown,8.391304347826088,23,33,652,High
0679810307,Shabanu: Daughter of the Wind (Border Trilogy),suzanne fisher staples,1991.0,laurel leaf,shabanu daughter wind border trilogy,en,7.5,6,2,29,Low
0679865691,Haveli (Laurel Leaf Books),suzanne fisher staples,1995.0,laurel leaf,haveli laurel leaf,unknown,7.0,4,2,29,Low
042511774X,Breathing Lessons,anne tyler,1994.0,berkley,breathing lesson,en,7.357142857142857,42,31,519,Low
0804106304,The Joy Luck Club,amy tan,1994.0,prentice hall (k-12),joy luck club,en,8.204188481675393,191,17,1,High
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),thomas hardy,1997.0,ntc/contemporary,te 'urbervilles wordsworth classic,en,8.666666666666666,9,10,60,High
0060938412,The Accidental Virgin,valerie frankel,2003.0,avon,accidental virgin,unknown,6.333333333333333,9,2,540,Low
0140067477,The Tao of Pooh,benjamin hoff,1983.0,penguin,tao pooh,en,8.04040404040404,99,4,486,High
0345465083,Seabiscuit,laura hillenbrand,2003.0,ballantine,seabiscuit,ro,8.21311475409836,61,3,656,High
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),h jackson brown,1991.0,thomas nelson,life little instruction life little instruction,en,7.75,40,5,16,High
0441783589,Starship Troopers,robert a heinlein,1987.0,ace,starship trooper,en,7.774193548387097,31,24,145,High
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",philip pullman,1988.0,laurel leaf,ruby smoke sally lockhart trilogy 1,en,8.090909090909092,11,27,29,High
0375410538,Anil's Ghost,michael ondaatje,2000.0,knopf,anil ghost,unknown,7.2727272727272725,11,7,55,Low
087113375X,Modern Manners: An Etiquette Book for Rude People,pj o'rourke,1990.0,atlantic monthly press,modern manner etiquette rude people,unknown,7.142857142857143,7,3,10,Low
0340767936,Turning Thirty,mike gayle,2000.0,hodder stoughton general division,turning thirty,en,6.833333333333333,6,4,5,Low
0316769487,The Catcher in the Rye,jd salinger,1991.0,little brown,catcher rye,en,7.683333333333334,240,7,95,Low
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),j r r tolkien,2001.0,minotauro,el senor de los anillos la comunidad del anillo lord ring spanish,unknown,8.181818181818182,11,54,5,High
8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),j r r tolkien,2001.0,minotauro,el senor de los anillos la do torres lord ring,unknown,8.666666666666666,6,54,5,High
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",j r r tolkien,2001.0,distri,el senor de los anillos el retorno del rey tolkien j r r lord ring 3,unknown,9.166666666666666,6,54,77,High
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,john berendt,1994.0,rom house,midnight garden good evil savannah,en,7.776699029126213,103,3,248,High
0671867156,Pretend You Don't See Her,mary higgins clark,1998.0,pocket,pretend ' see,unknown,8.11320754716981,53,65,652,High
0312252617,Fast Women,jennifer crusie,2001.0,st martin's press,fast woman,en,7.555555555555555,9,16,168,Low
0312261594,Female Intelligence,jane heller,2001.0,st martin's press,female intelligence,unknown,6.571428571428571,14,9,168,Low
0316748641,Pasquale's Nose: Idle Days in an Italian Town,michael rips,2002.0,back bay,pasquale nose idle day italian town,en,6.8,5,1,50,Low
